class_index,class_name,clean_acc,blur_acc,lowres_acc,grayscale_acc,crop_acc,occlusion_acc,blur_drop,lowres_drop,grayscale_drop,crop_drop,occlusion_drop,local_detail_score,structure_score
40,frozen_yogurt,0.6103896103896104,0.3896103896103896,0.2727272727272727,0.1298701298701298,0.4285714285714285,0.5584415584415584,0.2207792207792208,0.33766233766233766,0.48051948051948057,0.18181818181818188,0.051948051948051965,0.5584415584415585,0.23376623376623384
41,welsh_rarebit,0.1764705882352941,0.196078431372549,0.1176470588235294,0.0,0.2745098039215686,0.2156862745098039,-0.019607843137254888,0.058823529411764705,0.1764705882352941,-0.0980392156862745,-0.0392156862745098,0.03921568627450982,-0.1372549019607843
42,donut,0.5348837209302325,0.3372093023255814,0.2906976744186046,0.1511627906976744,0.4418604651162791,0.5465116279069767,0.19767441860465113,0.2441860465116279,0.3837209302325581,0.09302325581395343,-0.011627906976744207,0.441860465116279,0.08139534883720922
43,rigatoni,0.5068493150684932,0.0547945205479452,0.0410958904109589,0.0,0.3561643835616438,0.3972602739726027,0.452054794520548,0.4657534246575343,0.5068493150684932,0.15068493150684936,0.10958904109589046,0.9178082191780823,0.2602739726027398
44,ham_sandwich,0.5443037974683544,0.430379746835443,0.3924050632911392,0.0,0.4556962025316455,0.4936708860759494,0.11392405063291144,0.15189873417721522,0.5443037974683544,0.08860759493670894,0.050632911392405056,0.26582278481012667,0.139240506329114
45,edamame,0.7529411764705882,0.788235294117647,0.8352941176470589,0.0,0.7764705882352941,0.7647058823529411,-0.03529411764705881,-0.08235294117647063,0.7529411764705882,-0.02352941176470591,-0.0117647058823529,-0.11764705882352944,-0.03529411764705881
46,taco,0.4166666666666667,0.1527777777777778,0.0972222222222222,0.0138888888888888,0.2638888888888889,0.4027777777777778,0.2638888888888889,0.3194444444444445,0.4027777777777779,0.1527777777777778,0.013888888888888895,0.5833333333333334,0.16666666666666669
47,adobo,0.3875,0.05,0.025,0.0,0.25,0.3875,0.3375,0.3625,0.3875,0.1375,0.0,0.7,0.1375
48,croque_madame,0.6190476190476191,0.369047619047619,0.1785714285714285,0.0,0.4642857142857143,0.5714285714285714,0.25000000000000006,0.4404761904761906,0.6190476190476191,0.15476190476190477,0.04761904761904767,0.6904761904761907,0.20238095238095244
49,risotto,0.6153846153846154,0.6153846153846154,0.3717948717948718,0.0512820512820512,0.5256410256410257,0.6153846153846154,0.0,0.2435897435897436,0.5641025641025642,0.08974358974358976,0.0,0.2435897435897436,0.08974358974358976
50,spaghetti_carbonara,0.7142857142857143,0.2222222222222222,0.0476190476190476,0.0,0.6031746031746031,0.7777777777777778,0.4920634920634921,0.6666666666666667,0.7142857142857143,0.11111111111111116,-0.06349206349206349,1.1587301587301588,0.04761904761904767
51,wonton,0.3414634146341463,0.4268292682926829,0.4146341463414634,0.0,0.3536585365853658,0.3048780487804878,-0.0853658536585366,-0.07317073170731708,0.3414634146341463,-0.012195121951219468,0.036585365853658514,-0.1585365853658537,0.024390243902439046
52,bacon_and_eggs,0.4130434782608695,0.4565217391304347,0.2826086956521739,0.0,0.3369565217391304,0.391304347826087,-0.04347826086956519,0.13043478260869562,0.4130434782608695,0.07608695652173914,0.02173913043478254,0.08695652173913043,0.09782608695652167
53,cheesecake,0.4769230769230769,0.2769230769230769,0.2153846153846154,0.0769230769230769,0.5384615384615384,0.4769230769230769,0.2,0.2615384615384615,0.4,-0.06153846153846154,0.0,0.4615384615384615,-0.06153846153846154
54,blancmange,0.2586206896551724,0.2413793103448276,0.3448275862068966,0.3793103448275862,0.2586206896551724,0.2758620689655172,0.01724137931034478,-0.0862068965517242,-0.12068965517241381,0.0,-0.017241379310344807,-0.06896551724137942,-0.017241379310344807
